Mobile cellular subscriptions (per 100 people),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Congo, Dem. Rep.",0.294178652,1.066842868,2.303632955,3.570488936,4.782426046,7.472649249,10.8470694,15.90658303,14.73196719,17.91890479,23.13117395
"Congo, Rep.",4.668054635,6.743848974,9.806336736,11.13404425,15.79858581,25.28547818,34.51527524,47.10219822,50.74269546,98.93890498,93.84042217
Cook Is,,,,,,,,,,,
Costa Rica,8.167584574,12.30599454,18.70714093,21.79343919,25.55580076,32.94788467,33.87271011,41.71867025,42.4832763,65.14446476,92.20475714
Cote d'Ivoire,4.312738207,5.977993032,7.336919175,9.442516964,13.03726785,22.18392262,40.0483001,55.0325599,68.1358671,79.03132061,86.42123062
Croatia,39.15994663,51.78220484,56.93370285,63.72594629,82.16369885,99.12961617,113.7502867,103.0868731,105.9886907,111.9232944,116.3706103
Cuba,0.077009611,0.159734289,0.315452431,0.674652447,1.204292568,1.355644199,1.759317656,2.944340083,5.515195921,8.909369968,11.68633507
Cyprus,32.69483984,42.65170828,55.2783494,64.7991841,75.78266487,82.7824267,92.97148614,94.40464772,89.64192603,93.69581035,97.70546068
Czech Republic,67.9381394,84.33495274,95.1894473,105.6941882,115.2166626,120.9323102,128.2648852,132.7906744,136.5782177,121.7489441,121.6028451
Czechoslovakia,,,,,,,,,,,
Denmark,73.93809436,83.37670913,88.53396805,95.67859444,100.5491707,107.0831934,115.3382714,119.2762572,123.6893909,125.7805656,126.4581629
Djibouti,0.400211312,1.96005922,2.950079524,4.344254653,5.449628696,5.441056136,8.283846743,13.18878589,14.76636586,18.63508702,21.31809568
Dominica,11.10199145,17.5654031,34.37283237,60.55842633,75.44432354,104.0756914,130.0523132,133.5113485,145.0192868,155.8023525,164.0192095
Dominican Republic,14.55471854,19.19258619,23.25538014,27.75545142,39.1103689,49.0053132,57.83556026,74.60446761,88.08763264,89.57888937,87.21780167
East Germany,,,,,,,,,,,
Ecuador,6.844722243,12.22534867,18.46444778,26.83177492,46.5227542,62.20844317,71.77023277,83.1236759,92.84925653,102.1845607,104.5455987
Egypt,4.055566575,6.405021119,8.108611275,10.4922235,18.36793999,23.82092697,39.11237088,52.71313013,69.43661504,87.10560512,101.0763385
El Salvador,14.37777603,14.84274243,19.135984,30.3971177,39.86030606,63.40635843,100.5984886,113.3951848,122.8202187,124.3394914,125.845224
Equatorial Guinea,2.792282132,5.771703861,7.255257439,10.49518985,15.94434453,19.1761602,23.29424042,27.17690808,29.36361701,57.00877069,59.14916837
Eritrea,0,0,0,0.463140607,0.901395516,1.334441996,1.757776967,2.195665263,2.768341612,3.526578342,4.467709888
Eritrea and Ethiopia,,,,,,,,,,,
Estonia,47.78316773,64.93965993,77.68313294,93.12410036,107.3888236,123.4116893,125.2425955,121.034985,117.0620194,123.23911,138.983109
Ethiopia,0.040859548,0.07295555,0.072507899,0.214450915,0.552933815,1.140493735,1.554969531,2.46018263,4.990534841,8.262854643,16.67172011
Faeroe Islands,52.82151948,73.99667689,80.10195484,86.19012835,87.09851216,103.0737494,107.4055011,112.8876268,117.2092545,122.0456599,
Falkland Is (Malvinas),,,,,,,,,,,
Fiji,9.933110778,11.01262225,13.4438709,17.3592544,24.92240622,34.37743797,63.45851087,71.11945579,75.08890409,81.09474183,83.7166026
Finland,80.52925839,86.90604073,91.10525765,95.44462404,100.4892511,107.6731658,114.924474,128.4719884,144.1530224,156.3972049,166.0238042
France,62.29491746,64.55140568,69.29097497,73.50896438,78.83730258,84.17013472,89.65659116,93.35504274,95.44434226,100.6570949,105.0282155
French Guiana,,,,,,,,,,,
French Polynesia,27.87349657,21.32653061,24.19903607,38.1524668,47.08282654,58.88756736,66.90275307,70.74366544,77.8007733,79.73364258,81.38996336
Gabon,11.8749332,21.6413851,22.77067501,36.40660303,53.74439441,64.27083751,82.11362868,89.63600885,92.92636144,106.9438439,117.3202491
Gambia,4.124135081,7.26725701,10.53026552,11.98225531,16.45817788,26.13298743,50.29487412,71.27504497,78.06668593,85.53298611,89.01510779
Georgia,6.431285218,10.88662556,15.56329707,18.59995792,26.22976159,38.35145431,58.87092172,62.7008583,64.86602662,91.44707879,102.346648
Germany,68.12709457,71.72940284,78.56058484,86.42540783,96.03863615,103.7751488,116.6229321,127.9450964,127.4188883,127.0435825,132.2987788
Ghana,1.241817997,1.922879877,3.85974953,8.025602002,13.28366807,23.48719626,33.47973792,49.7349659,63.41781842,71.48686263,84.77929582
Gibraltar,,,,,,,,,,,
Greece,72.18506952,84.11432365,80.4261011,83.64687074,91.74900658,97.86551746,109.2325971,122.2066583,117.3794227,108.2167583,106.4789464
Greenland,28.16207111,35.19022219,52.33445922,68.42972599,81.27294982,94.09916201,115.8489776,97.3812307,93.30587743,100.0925021,102.5237364
Grenada,6.304862825,7.408242933,41.38460786,42.27514519,45.61099539,44.83146831,49.70687253,57.86758964,109.9205549,116.7092557,
Guadeloupe,,,,,,,,,,,
Guam,20.68580421,43.98223243,48.92073982,59.06532142,,,,,,,
Guatemala,9.95810951,13.36472957,16.81830986,25.54063906,35.46443646,55.07324795,89.06133481,109.1871167,123.3285161,125.5685534,140.3756415
Guernsey,,,,,,,,,,,
Guinea,0.657079468,1.054882918,1.275166818,1.742540291,2.090373135,,21.33647634,28.7683686,35.74349387,40.07377582,44.02352304
Guinea-Bissau,0,0,0.096973292,2.94231713,7.225660692,11.27415994,20.79938716,34.40437432,37.75604399,,25.97699767
Guyana,10.24306193,10.75864723,18.61929345,23.08001554,37.7050125,53.45299678,71.83002074,59.57718294,68.1970962,73.61194869,68.61502037
Haiti,1.040727003,1.566827662,3.526015771,4.341863576,5.351299664,12.65938161,26.01875661,32.86658672,36.98206481,40.02703025,41.48645166
Holy See,,,,,,,,,,,
Honduras,3.743797335,5.040628944,5.739789029,10.48772914,18.62795078,31.92974861,58.45704438,85.04628809,112.628748,125.0581013,103.9658854
"Hong Kong, China",84.58735993,93.54898208,107.7242891,120.6559669,125.4688974,138.2138915,156.4377443,167.1893408,180.2692368,195.5672675,209.6399322
Hungary,48.77363149,67.78153319,78.39139384,86.3189789,92.3967397,99.02075401,109.8317244,121.9746762,117.8982583,120.3150052,117.2968185
Iceland,87.37253162,90.81361169,96.52980078,98.9979659,95.40511486,100.30298,106.6652274,108.4515203,107.6604456,106.5412825,106.0792438
India,0.610430941,1.194091181,3.04642698,4.650080995,7.906720258,14.35129379,19.89996983,29.1292787,43.47705819,61.4226033,71.99905491
Indonesia,3.016115387,5.341822661,8.337231689,13.50655605,20.63762286,27.75026888,40.17301023,59.83296554,68.94143553,88.08496671,97.71953762
Iran,3.147701949,3.39093343,5.068748288,7.367445463,12.20460068,21.79772499,41.67395879,59.48322276,71.85814793,73.06896255,74.92520816
Iraq,0,0.079261074,0.308701739,2.156393125,5.60318056,33.20909467,48.41488505,58.78045692,65.47478839,73.45512892,78.12351236
Ireland,76.82716733,76.2237533,87.27078329,94.47640978,102.6925654,110.9716053,115.8336087,115.972488,106.6252042,105.1807423,108.4084545
Isle of Man,,,,,,,,,,,
Israel,89.7135899,100.9358989,104.1916964,111.6008596,117.4489429,124.4054345,128.6382352,126.6439604,124.2537305,122.8162407,121.6578152
Italy,89.59213237,94.26272695,98.10879697,107.69984,121.8655707,136.1122912,150.9381179,150.8411572,146.1011892,149.6263108,151.8374453
Jamaica,22.95515799,47.41017408,59.56915189,68.95395957,73.88964941,84.36083957,99.08783253,100.1117899,108.2499321,116.0866339,108.1214042
Japan,59.430459,64.35491913,68.67344329,72.42630595,76.3365398,78.9358056,84.84257809,87.23798653,91.8955442,97.43251165,102.6650202
Jersey,,,,,,,,,,,
Jordan,17.62967673,24.3998846,26.00289594,31.17072898,58.73640631,79.03562381,84.19389485,90.84642856,99.81369465,106.9946197,118.2047588
Kazakhstan,3.906652223,6.89184547,8.895805836,16.25536454,35.57915489,50.78087709,79.62394643,95.24269826,107.7147692,121.0667396,142.5498635
Kenya,1.870546579,3.605220187,4.705726478,7.337168136,12.94966982,20.08792164,30.27701085,42.39603637,49.07117416,61.63228344,64.84245944
Kiribati,0.461718293,0.568005783,0.592502478,0.680324786,0.706613906,0.748390959,0.789116505,1.035925911,10.10639926,10.64332068,13.63892653
North Korea,0,0,0,0,0,0,0,0,0.285751665,1.774069405,4.089764607
South Korea,62.85489674,69.67231569,72.04691783,78.1240784,81.50289156,85.04134311,93.410027,95.54412121,99.95892538,105.3621105,108.504517
"United Korea (former)
",,,,,,,,,,,
Kosovo,,,,,,,,,,,
Kuwait,43.6865666,59.28063171,66.76741336,91.34568175,100.573583,107.593599,113.3126728,114.0737677,146.4694292,160.7756989,
Kyrgyz Republic,0.541305195,1.061108911,2.760970284,5.24822223,10.74198875,24.81954174,42.19184922,65.21806636,85.13020751,98.89869621,104.8292283
Lao,0.546228151,1.003511198,2.011365762,3.603123668,11.42862903,17.28241987,24.92519032,33.57908775,52.92156941,64.56157773,87.16314805
Latvia,27.74614308,39.023971,52.24646296,66.2596061,81.17888831,95.2298219,97.16504368,101.2069401,101.8670016,102.3995808,102.9359711
Lebanon,20.16233388,20.03627242,20.2128311,22.1219537,24.51762157,27.00287032,30.47252732,34.24595894,56.95312593,68.00000095,78.64948273
Lesotho,2.865786183,6.86244224,6.207564801,9.585365163,12.09177094,17.16147358,21.65110573,27.88439663,30.75561569,45.47689468,47.90680099
Liberia,0.068043504,0.166884618,1.555600623,3.051358335,5.0274325,8.449723241,16.19120228,23.36029368,28.28681136,39.34051088,49.16775098
Libya,0.937855623,1.288116044,2.291979408,8.845178767,34.66379327,66.63957577,74.71294043,119.993024,152.2369144,171.5154666,155.6960141
Liechtenstein,33.09365504,33.90828526,73.51643828,74.20340463,79.26850357,82.16888127,90.77581807,95.71802596,97.84188751,98.52353464,101.8345086
Lithuania,29.25602264,47.52677477,60.98356043,88.90170918,127.4522301,138.8569982,145.3688811,149.4922166,148.4991007,147.1585875,151.2979213
Luxembourg,93.07295186,106.800457,120.7599588,104.2387467,111.5492884,153.1403436,143.8889753,145.2398512,144.6837755,143.265911,148.2675345
"Macao, China",44.17225989,61.43608501,79.23087303,91.98578257,110.6707659,129.0066029,157.0711615,179.8770597,195.2917479,206.4285136,243.4980233
"Macedonia, FYR",11.0747368,18.06626761,38.26771522,48.4791487,55.49291034,61.85926129,87.622136,95.85909836,94.47905915,104.5066324,109.3621617
Madagascar,0.930810079,0.99767623,1.684229201,1.923549219,2.852901384,5.67588527,11.6837003,24.73738484,31.22516479,37.22983676,38.28077561
Malawi,0.483375584,0.727171962,1.112512243,1.780956216,3.284540007,4.699867658,7.732877763,10.76523981,17.21088553,20.92072521,25.0685136
Malaysia,30.81626035,36.92792463,44.38913936,57.09551136,74.88436601,73.20962871,86.30689233,100.7671876,107.8520662,119.2175618,127.0351203
Maldives,6.801516248,14.84379982,23.18594876,38.91775606,68.96761956,90.52631931,103.2944696,141.6065299,146.8439945,156.4971429,165.7233638
Mali,0.206163372,0.383056431,1.99693799,3.185504152,5.782854236,11.13051355,18.05099229,23.77987813,29.91682726,48.40907912,68.32225788
Malta,59.89203144,68.82862143,71.64064063,75.16693968,79.15562125,84.35526559,89.31722119,93.1609437,101.6528587,109.3787739,124.8634096
Marshall Islands,0.938021523,1.060192832,1.15017695,1.239224138,1.268328305,1.915341889,2.857850515,3.78214826,5.618398382,7.03208853,
Martinique,,,,,,,,,,,
Mauritania,4.060591825,8.828878566,12.17743354,17.62170411,24.46846319,33.87015613,44.01218052,63.48499994,64.60888256,79.33982952,92.71026164
Mauritius,22.5457862,28.46441457,37.48437492,43.97195403,52.26434702,60.9777182,72.79598636,80.48454296,84.13908544,91.66607655,99.04384916
Mayotte,,,,,,,,,,,
Mexico,21.47207848,25.26280506,28.96723372,36.55886045,44.2590939,51.37045296,60.94030683,68.06960457,74.25785259,80.55043081,82.37873746
"Micronesia, Fed. Sts.",0,0.092826378,5.417955227,11.73457209,12.88076111,16.95616136,24.92097518,24.91686827,24.84730203,24.77670532,
Moldova,5.569025722,8.522071592,12.21488812,20.55954352,28.93113551,36.55898406,51.28175098,66.66785876,77.29518801,88.5853309,104.7985198
Monaco,40.52935842,42.08709431,42.69456162,44.64032651,48.75496313,51.9097173,57.79855504,62.25945212,65.01399214,66.12816675,85.81025771
Mongolia,8.009808935,8.784583706,12.83610785,17.04917394,21.87408115,29.98673061,45.51643755,66.09916348,82.93900524,91.09104097,105.078329
Montenegro,,,,77.16649227,86.67403816,102.6483318,111.9494492,184.0527031,205.2815913,185.276093,
Montserrat,,,,,,,,,,,
Morocco,16.38128869,21.04530631,24.72217628,31.03793239,40.77590198,52.1291356,64.58731247,72.84366405,80.00993155,100.0966061,113.264873
Mozambique,0.816693783,1.32686834,2.209608038,3.496937488,7.240934322,10.98737623,14.12010897,19.72429017,26.12049369,30.88473592,32.82674824
Myanmar,0.050019964,0.105202247,0.145095261,0.20067615,0.277842771,0.459634636,0.527841074,0.777535557,1.054601911,1.238454332,2.572822264
Namibia,5.505063781,7.601063744,11.13709717,14.00134779,21.58017184,28.73741004,37.06697224,47.80901118,54.28000275,67.20691073,104.9602755
Nauru,,,,,,,,,,,
Nepal,0.06919885,0.0855978,0.313144399,0.437078173,0.833210389,4.157203157,11.5208066,14.53017811,19.01922631,30.69344863,43.80556809
