Mobile cellular subscriptions (per 100 people),2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Tonga,0.239652301,3.386066045,11.23832268,16.35322976,29.59792323,29.58241455,45.49944256,49.04479642,51.19833074,52.18243672,52.62704647
Transnistria,,,,,,,,,,,
Trinidad and Tobago,19.74660784,20.18875579,25.75308273,49.68549284,70.25314242,115.0241817,113.8894085,135.6923909,138.163384,141.2068149,135.5665317
Tunisia,4.07699069,5.961420692,19.72325137,38.06492332,57.31094295,73.25983307,77.41692108,83.94545894,94.51945854,106.0421333,116.9302374
Turkey,30.32446058,35.63710418,42.03764449,51.62054061,63.99607585,76.25253719,88.54603292,92.80971263,87.38046482,84.90400135,88.70464879
Turkmenistan,0.179557826,0.177670321,0.197658648,1.066690286,2.211532447,4.516345481,7.855162227,23.07967882,42.83193753,63.41981696,68.77165519
Turks and Caicos Islands,,,,,,,,,,,
Tuvalu,0,0,0,5.18349575,13.41035692,16.4406083,18.4388445,,10.19783806,16.28167294,21.63095359
Uganda,1.134798055,1.524788503,2.913369367,4.233161028,4.626255012,6.839635112,13.82759565,27.29747916,28.99085634,38.37961305,48.3841688
Ukraine,4.591701908,7.687940765,13.63974788,29.05325725,63.96203796,105.3323593,119.3557137,121.0688373,120.1855036,118.6392243,122.9622918
United Arab Emirates,60.62357117,74.60219726,87.39684895,100.685476,111.4218269,118.370469,143.0293101,150.7701531,153.7997194,145.4535397,148.6188563
United Kingdom,78.31683329,82.95925861,91.02728866,99.65959774,108.7519922,115.7583013,121.2494869,125.2408107,130.1742603,130.7564225,130.7519369
United States,45.00169847,49.15635015,55.14660515,62.85011191,68.62738254,76.64460341,82.47195844,85.6752031,89.14911634,89.85645095,105.9136009
Uruguay,15.63972077,15.44269089,14.97175549,18.05786593,34.76035875,70.02390118,90.07038766,104.8371368,122.4629482,131.7138578,140.7518858
USSR,,,,,,,,,,,
Uzbekistan,0.51117824,0.739465056,1.258616688,2.116446324,2.774842996,9.652823526,21.47409395,46.15577354,60.52003787,76.34260339,91.64821433
Wallis et Futuna,,,,,,,,,,,
Vanuatu,0.184653695,2.518568014,3.9006241,5.10991871,6.010323436,6.920095959,11.69185662,15.78663486,54.08785662,119.0481158,
Venezuela,26.08788284,25.88456862,27.257592,32.1411524,46.86342569,69.26041961,86.32538829,97.70789149,98.6102938,96.20520902,97.77526778
West Bank and Gaza,5.356020847,7.496233292,7.723273376,12.53423657,15.96318127,22.59126605,27.39833794,34.349672,45.79369635,,
West Germany,,,,,,,,,,,
Western Sahara,,,,,,,,,,,
Vietnam,1.571267225,2.363196559,3.369500121,6.029442448,11.53567571,22.47082922,52.96482789,87.10953399,113.0295215,127.003046,143.3891012
Virgin Islands (U.S.),37.70947152,41.44749525,45.17879071,58.75354626,73.42519865,,,,,,
North Yemen (former),,,,,,,,,,,
South Yemen (former),,,,,,,,,,,
Yemen,0.809355826,2.584280361,3.476684255,7.370375395,11.03006624,13.9880271,19.8159292,28.48417979,35.63496117,46.08665855,47.04861475
Yugoslavia,,,,,,,,,,,
Zambia,1.159828035,1.300718915,2.203275274,4.148824982,8.284145549,14.15585648,21.89084976,28.58734991,34.63352695,41.61639507,60.59055913
Zimbabwe,2.497030819,2.687060723,2.883154433,3.37949799,5.147769979,6.777090032,9.819965877,13.28928471,31.99456918,61.24987611,72.13209456
Åland,,,,,,,,,,,
South Sudan,,,,,,,,,,,
Christian,,,,,,,,,,,
Coastline,,,,,,,,,,,
Curaçao,,,,,,,,,,,
Sint Maarten (Dutch part),,,,,,,,,,,
St. Martin (French part),,,,,,,,,,,
Antarctica,,,,,,,,,,,
"Virgin Islands, British",,,,,,,,,,,
Hawaiian Trade Zone,,,,,,,,,,,
U.S. Pacific Islands,,,,,,,,,,,
Wake Island,,,,,,,,,,,
Bonaire,,,,,,,,,,,
Sark,,,,,,,,,,,
Chinese Taipei,,,,,,,,,,,
Saint Eustatius,,,,,,,,,,,
Saba,,,,,,,,,,,
